Frame;CaptureTime;LogTime;LeftEyeStatus;LeftEyeForward_x;LeftEyeForward_y;LeftEyeForward_z;LeftAngle_x;LeftAngle_y;LeftEyePupilSize;RightEyeStatus;RightEyeForward_x;RightEyeForward_y;RightEyeForward_z;RightAngle_x;RightAngle_y;RightEyePupilSize;FocusDistance;FocusStability
45955;1E+18;6,37486E+13;VALID;0,03068229;-0,07380787;0,9968004;1,763052;-4,234725;0,125778556;VALID;0,005330311;-0,06757611;0,9976999;0,3061055;-3,874834;0,127092466;2;1
45956;1E+18;6,37486E+13;VALID;0,03077705;-0,0737769;0,9967998;1,768494;-4,232958;0,125824854;VALID;0,005427895;-0,06742769;0,9977094;0,3117064;-3,866313;0,127875447;2;1
45957;1E+18;6,37486E+13;VALID;0,0308801;-0,07376742;0,9967973;1,774417;-4,232427;0,125607103;VALID;0,005323005;-0,06737281;0,9977137;0,3056817;-3,863159;0,127381369;2;1
45958;1E+18;6,37486E+13;VALID;0,03115597;-0,07376663;0,9967887;1,790274;-4,232418;0,125573561;VALID;0,005361095;-0,06699651;0,9977388;0,3078613;-3,84155;0,127692431;2;1
45959;1E+18;6,37486E+13;VALID;0,03147625;-0,07363661;0,9967883;1,808666;-4,224987;0,125740081;VALID;0,005357594;-0,06658145;0,9977666;0,3076517;-3,817715;0,126683697;2;1
45960;1E+18;6,37486E+13;VALID;0,03174192;-0,07351804;0,9967886;1,823921;-4,218206;0,125411734;VALID;0,005309658;-0,06617067;0,9977942;0,3048906;-3,794126;0,126794219;2;1
45961;1E+18;6,37486E+13;VALID;0,03206588;-0,07343654;0,9967843;1,842531;-4,213566;0,125464082;VALID;0,005277265;-0,06575039;0,9978222;0,3030221;-3,769992;0,126740977;2;1
45962;1E+18;6,37486E+13;VALID;0,03218115;-0,07332496;0,9967887;1,849142;-4,207168;0,125694007;VALID;0,005344613;-0,06555516;0,9978346;0,3068853;-3,758783;0,126522914;2;1
45963;1E+18;6,37486E+13;VALID;0,03241676;-0,07329433;0,9967834;1,862681;-4,205439;0,125887007;VALID;0,00533737;-0,0652756;0,997853;0,3064638;-3,742731;0,127459466;2;1
45964;1E+18;6,37486E+13;VALID;0,03265306;-0,07321847;0,9967812;1,876253;-4,201111;0,125792891;VALID;0,005301188;-0,0650208;0,9978698;0,3043812;-3,7281;0,127482221;2;1
45965;1E+18;6,37486E+13;VALID;0,03277728;-0,07315211;0,996782;1,883384;-4,197314;0,125293672;VALID;0,005322497;-0,06481402;0,9978831;0,3056006;-3,716228;0,127409056;2;1
45966;1E+18;6,37486E+13;VALID;0,03290483;-0,07316249;0,9967771;1,890717;-4,197928;0,125760838;VALID;0,005347662;-0,06457894;0,9978983;0,3070408;-3,70273;0,127457052;2;1
45967;1E+18;6,37486E+13;VALID;0,03300912;-0,07311992;0,9967768;1,896706;-4,195495;0,125663325;VALID;0,005394139;-0,06435651;0,9979124;0,309705;-3,68996;0,127279237;2;1
45968;1E+18;6,37486E+13;VALID;0,03309589;-0,07306904;0,9967776;1,901686;-4,192583;0,12574555;VALID;0,005311645;-0,06429593;0,9979168;0,3049673;-3,68648;0,128248557;2;1
45969;1E+18;6,37486E+13;VALID;0,03283361;-0,07305271;0,9967875;1,886608;-4,191608;0,126241654;VALID;0,005207051;-0,06422473;0,9979219;0,2989606;-3,682391;0,127377942;2;1
45970;1E+18;6,37486E+13;VALID;0,03260017;-0,07304539;0,9967957;1,873189;-4,191155;0,126241654;VALID;0,004860193;-0,06406476;0,9979339;0,2790429;-3,673199;0,128068358;2;1
45971;1E+18;6,37486E+13;VALID;0,03263385;-0,07304683;0,9967945;1,875125;-4,191243;0,126096666;VALID;0,00467005;-0,06426807;0,9979218;0,2681294;-3,684869;0,127631173;2;1
45972;1E+18;6,37486E+13;VALID;0,03246408;-0,07301468;0,9968023;1,865363;-4,189372;0,126241654;VALID;0,0043724;-0,06429075;0,9979216;0,2510402;-3,686166;0,128012747;2;1
45973;1E+18;6,37486E+13;VALID;0,03251285;-0,07302955;0,9967997;1,868168;-4,190232;0,126309499;VALID;0,0045536;-0,06431978;0,997919;0,2614443;-3,687836;0,128317967;2;1
45974;1E+18;6,37486E+13;VALID;0,03258296;-0,0730481;0,996796;1,8722;-4,191308;0,126307055;VALID;0,004354458;-0,06443802;0,9979122;0,2500124;-3,694622;0,127545804;2;1
