Frame;CaptureTime;LogTime;HMDPosition_x;HMDPosition_y;HMDPosition_z;HMDRotation_x;HMDRotation_y;HMDRotation_z;HeadForward_x;HeadForward_y;HeadForward_z;seq;GazeStatus;CombinedGazeForward_x;CombinedGazeForward_y;CombinedGazeForward_z;CombinedGazePosition_x;CombinedGazePosition_y;CombinedGazePosition_z;GazeAngle_x;GazeAngle_y;LeftEyeStatus;LeftEyeForward_x;LeftEyeForward_y;LeftEyeForward_z;LeftEyePosition_x;LeftEyePosition_y;LeftEyePosition_z;LeftAngle_x;LeftAngle_y;LeftEyePupilSize;RightEyeStatus;RightEyeForward_x;RightEyeForward_y;RightEyeForward_z;RightEyePosition_x;RightEyePosition_y;RightEyePosition_z;RightAngle_x;RightAngle_y;RightEyePupilSize;FocusDistance;FocusStability
37680;1000776375916294000;63748134137387;1,79654;1,214537;-0,4173238;357,4589;22,15161;0,3635155;0,376688;0,376688;0,376688;0;VALID;0,04777701;-0,07205626;0,9962556;0;0;0;2,745606;-4,136833;VALID;0,04182716;-0,0649866;0,9970092;-0,03112125;0;0;2,4023;-3,729352;0,167329803109169;VALID;0,05372276;-0,07911973;0,9954165;0,03112125;0;0;3,089264;-4,544547;0,190543010830879;2;0,944688081741333
37681;1000776375926231300;63748134137403;1,796909;1,214437;-0,4172989;357,4971;22,21467;0,3765591;0,3777171;0,3777171;0,3777171;0;VALID;0,04767381;-0,07228993;0,9962437;0;0;0;2,739717;-4,150251;VALID;0,04178506;-0,06530543;0,9969901;-0,03112125;0;0;2,399931;-3,747668;0,166484609246254;VALID;0,05355856;-0,07926834;0,9954135;0,03112125;0;0;3,079849;-4,55306;0,190482690930367;2;0,960776329040527
37683;1000776375946360100;63748134137419;1,797276;1,214288;-0,4172958;357,4986;22,27812;0,410488;0,3787416;0,3787416;0,3787416;0;VALID;0,04746942;-0,07273575;0,9962209;0;0;0;2,728051;-4,175851;VALID;0,04152087;-0,06577456;0,9969703;-0,03112125;0;0;2,384822;-3,774587;0,167376682162285;VALID;0,05341396;-0,0796908;0,9953876;0,03112125;0;0;3,07163;-4,577341;0,192432895302773;2;1
37684;1000776375956366000;63748134137436;1,797859;1,213995;-0,4176866;357,5112;22,35055;0,4314387;0,3799136;0,3799136;0,3799136;0;VALID;0,04739369;-0,07288359;0,9962137;0;0;0;2,723725;-4,184339;VALID;0,04135938;-0,06581427;0,9969743;-0,03112125;0;0;2,375547;-3,776844;0,167228877544403;VALID;0,05342388;-0,07994657;0,9953665;0,03112125;0;0;3,072264;-4,592067;0,190453410148621;2;1
37685;1000776375966491800;63748134137437;1,797859;1,213995;-0,4176866;357,5112;22,35055;0,4314387;0,3799136;0,3799136;0,3799136;0;VALID;0,04730585;-0,07308273;0,9962033;0;0;0;2,718713;-4,195775;VALID;0,04118304;-0,06584011;0,99698;-0,03112125;0;0;2,365417;-3,778301;0,167204186320305;VALID;0,05342438;-0,08031873;0,9953365;0,03112125;0;0;3,072385;-4,613489;0,190488383173943;2;1
37686;1000776375976379000;63748134137453;1,798212;1,213862;-0,4175348;357,531;22,42176;0,4532392;0,3810674;0,3810674;0,3810674;0;VALID;0,04722103;-0,07326754;0,9961938;0;0;0;2,713872;-4,206387;VALID;0,04097199;-0,06581579;0,9969903;-0,03112125;0;0;2,353285;-3,776871;0,167071476578712;VALID;0,05346559;-0,08071232;0,9953024;0,03112125;0;0;3,074855;-4,636157;0,190488383173943;2;1
37687;1000776375986368900;63748134137469;1,798697;1,213749;-0,417574;357,5568;22,52114;0,447699;0,3826761;0,3826761;0,3826761;0;VALID;0,04684984;-0,07314494;0,9962203;0;0;0;2,692499;-4,199262;VALID;0,04076772;-0,06587122;0,996995;-0,03112125;0;0;2,341554;-3,780025;0,16731470823288;VALID;0,05292773;-0,08041205;0,9953555;0,03112125;0;0;3,043819;-4,618739;0,188893005251884;2;1
37688;1000776375996487800;63748134137469;1,798697;1,213749;-0,417574;357,5568;22,52114;0,447699;0,3826761;0,3826761;0,3826761;0;VALID;0,04631259;-0,07305573;0,996252;0;0;0;2,661583;-4,194026;VALID;0,04039954;-0,06581229;0,9970139;-0,03112125;0;0;2,320386;-3,776581;0,167472511529922;VALID;0,05222157;-0,08029274;0,9954024;0,03112125;0;0;3,003143;-4,611699;0,188155770301819;2;1
37689;1000776376006487900;63748134137487;1,799233;1,213657;-0,4174134;357,6028;22,62957;0,3910419;0,3844351;0,3844351;0,3844351;0;VALID;0,04599636;-0,07293609;0,9962754;0;0;0;2,643373;-4,187084;VALID;0,04018466;-0,06571714;0,9970288;-0,03112125;0;0;2,308023;-3,77108;0,167584404349327;VALID;0,05180409;-0,08014873;0,9954358;0,03112125;0;0;2,979077;-4,603309;0,187903642654419;2;1
37690;1000776376016474800;63748134137487;1,799233;1,213657;-0,4174134;357,6028;22,62957;0,3910419;0,3844351;0,3844351;0,3844351;0;VALID;0,04549202;-0,07278725;0,9963095;0;0;0;2,61434;-4,178427;VALID;0,03999285;-0,06562866;0,9970424;-0,03112125;0;0;2,296988;-3,765967;0,167826756834984;VALID;0,05098746;-0,07993986;0,9954948;0,03112125;0;0;2,932025;-4,591094;0,189214155077934;2;1
